epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9795,1.15198,2.01699,1.54315,0.01323,0.12828,0.00687,0.00167,3.11517,71.5668,8.29379,0.0705263,0.00327485,0.00327485
2,66.2487,1.26992,1.69335,1.64542,0.00557,0.09451,0.00232,0.00065,3.86917,45.682,7.81706,0.0404827,0.00656457,0.00656457
3,100.277,1.24811,1.54429,1.59587,0.02786,0.09786,0.01253,0.00375,3.32682,8.53562,4.52343,0.0103951,0.00981029,0.00981029
4,133.533,1.20395,1.47673,1.58097,0.04987,0.09958,0.01915,0.00704,3.09394,6.85217,4.70119,0.009802,0.009802,0.009802
5,178.707,1.12635,1.39207,1.51831,0.16499,0.30481,0.13475,0.06297,1.92104,2.96726,2.68803,0.009736,0.009736,0.009736
6,212.208,1.06581,1.32511,1.45308,0.2481,0.25328,0.18595,0.09803,1.7366,3.58246,2.36903,0.00967,0.00967,0.00967
7,245.68,1.03454,1.2732,1.43476,0.2157,0.35034,0.22057,0.14445,1.23532,3.03714,1.7465,0.009604,0.009604,0.009604
8,279.247,1.0059,1.23699,1.38237,0.26008,0.26802,0.28209,0.18513,1.34622,2.57186,1.97683,0.009538,0.009538,0.009538
9,312.668,0.93863,1.15671,1.33539,0.5507,0.44263,0.43051,0.30058,1.09116,1.93191,1.69744,0.009472,0.009472,0.009472
10,349.059,0.9265,1.13974,1.34753,0.35556,0.38939,0.27688,0.17333,1.28146,2.40258,1.83448,0.009406,0.009406,0.009406
11,382.212,0.91869,1.15845,1.33379,0.44384,0.40187,0.39049,0.26835,1.14125,1.75127,1.71661,0.00934,0.00934,0.00934
12,415.553,0.85833,1.04033,1.29056,0.54479,0.33678,0.26012,0.16003,1.15908,2.45575,1.77333,0.009274,0.009274,0.009274
13,448.844,0.86333,1.07318,1.30389,0.47774,0.46639,0.43172,0.30331,1.02794,1.73288,1.56909,0.009208,0.009208,0.009208
14,482.296,0.82833,1.02575,1.26013,0.29359,0.53643,0.41518,0.27222,1.16422,1.80931,1.75301,0.009142,0.009142,0.009142
15,526.69,0.82105,0.99642,1.25116,0.54572,0.51042,0.48317,0.36071,0.98569,1.59801,1.51622,0.009076,0.009076,0.009076
16,559.906,0.81219,0.98033,1.25691,0.48571,0.54753,0.48099,0.34252,0.95995,1.54838,1.49942,0.00901,0.00901,0.00901
17,593.183,0.80973,0.95595,1.26061,0.53748,0.50967,0.51335,0.34146,1.15298,1.60112,1.73901,0.008944,0.008944,0.008944
18,627.767,0.81739,0.97859,1.2667,0.43757,0.44534,0.44057,0.3172,0.96624,1.73749,1.50298,0.008878,0.008878,0.008878
19,662.468,0.7926,0.92016,1.24737,0.51841,0.43369,0.45516,0.33919,0.95804,1.75906,1.4773,0.008812,0.008812,0.008812
